万物生光辉, [英] 吉米·哈利, 中国城市出版社, 2012-3
我亲爱的甜橙树, (巴西)若泽•毛罗•德瓦斯康塞洛斯, 天天出版社, 2010-6
教父, (美)马里奥·普佐, 江苏文艺出版社, 2014-4-1
故事, 罗伯特·麦基, 天津人民出版社, 2014-9-1
树上的男爵, (意)卡尔维诺, 译林出版社, 2012-4-1
罗马人的故事2, 盐野七生, 中信出版社, 2011-12
神秘岛（全三册）, (法)儒勒·凡尔纳, 中国青年出版社, 1979
罗杰・艾克罗伊德谋杀案, 阿加莎・克里斯蒂, 贵州人民出版社, 1998-10-1
呼兰河传, 萧红, 中国青年出版社, 2003-01-01
孽子, 白先勇, 广西师范大学出版社, 2010.10
最後的貴族, 章詒和, 牛津大學出版社, 2004-3-1
木心作品八种, 木心, 广西师范大学出版社, 2009-1
灵魂的事, 史铁生, 百花文艺出版社, 2005-4
万物既聪慧又奇妙, [英] 吉米·哈利, 中国城市出版社, 2010-7
局外人, [法] 阿尔贝·加缪, 上海译文出版社, 2010-8
荒原狼, [德]赫尔曼·黑塞, 上海译文出版社, 2010.9
所罗门王的指环, (奥)劳伦兹, 中国和平出版社, 1998-07-01
故道白云, 一行禅师, 线装书局, 2007-6
中国哲学简史, 冯友兰, 生活·读书·新知三联书店, 2009-5
经济学, （美）保罗·萨缪尔森, 人民邮电出版社, 2008-1-1
史努比黄金50年, [美] 查尔斯·舒尔茨, 希望出版社, 2001-1
365夜, 鲁兵主编, 少年儿童出版社, 1981-04
世说新语, 刘义庆, 中华书局, 2007-9
银河帝国3：第二基地, [美] 艾萨克·阿西莫夫, 江苏文艺出版社, 2012-7
C专家编程, Peter Van Der Linden, 人民邮电出版社, 2008-2
TCP/IP详解 卷1：协议, W.Richard Stevens, 机械工业出版社, 2000-4-1
基地前传2·迈向基地（上下）, （美）艾萨克·阿西莫夫, 天地出版社, 2005-01
天真的人类学家, [英] 奈杰尔·巴利, 上海人民出版社, 2003-8
温柔的夜, 三毛, 北京十月文艺出版社, 2007-5
柏拉图的《会饮》, 柏拉图, 华夏出版社, 2003-08
陶庵梦忆 西湖梦寻, [明] 张岱, 上海古籍出版社, 2001-5
热爱生命, (美)杰克·伦敦著, 北京燕山出版社, 2000-12-03
飘, 玛格丽特.米切尔, 浙江文艺出版社, 1988
额尔古纳河右岸, 迟子建, 北京十月文艺出版社, 2005-12-1
绿山墙的安妮, [加] 露西·莫德·蒙哥玛利, 浙江文艺出版社, 2003-01
深入理解计算机系统（原书第2版）, （美）Randal E.Bryant / David O'Hallaron, 机械工业出版社, 2011-1-1
陶渊明集, 逯钦立 校注, 中华书局, 1979-5
金刚经, (后秦)鸠摩罗什, 中州古籍出版社, 2007-4
小径分岔的花园, [阿根廷] 博尔赫斯, 浙江文艺出版社, 2002-7
